" Datos Básicos  - Paro Registrado"
"Datos de: INDICADOR=PARO REGISTRADO EN MUJERES DE MENOS DE 25 AÑOS EN DICIEMBRE, PARO REGISTRADO EN MUJERES DE 25 AÑOS O MÁS EN DICIEMBRE, PARO REGISTRADO EN VARONES DE MENOS DE 25 AÑOS EN DICIEMBRE, PARO REGISTRADO EN VARONES DE 25 AÑOS O MÁS EN DICIEMBRE"
"FAMILIA INDICADOR",,"LABORAL",,,,
"INDICADOR",,"PARO REGISTRADO EN MUJERES DE MENOS DE 25 AÑOS EN DICIEMBRE","PARO REGISTRADO EN MUJERES DE 25 AÑOS O MÁS EN DICIEMBRE","PARO REGISTRADO EN VARONES DE MENOS DE 25 AÑOS EN DICIEMBRE","PARO REGISTRADO EN VARONES DE 25 AÑOS O MÁS EN DICIEMBRE",
,,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,
,"09077 CASCAJARES DE BUREBA",           .,           .,           .,           3,
,"09079 CASTELLANOS DE CASTRO",           .,           1,           .,           .,
,"09084 CASTRILLO DE LA REINA",           1,           2,           .,          11,
,"09085 CASTRILLO DE LA VEGA",           2,           7,           .,           7,
,"09086 CASTRILLO DEL VAL",           .,           8,           .,           3,
,"09088 CASTRILLO DE RIOPISUERGA",           .,           .,           .,           1,
,"09090 CASTRILLO MOTA DE JUDIOS",           .,           2,           .,           2,
,"09091 CASTROJERIZ",           4,           3,           .,          10,
,"09093 CAYUELA",           .,           1,           .,           .,
,"09095 CELADA DEL CAMINO",           .,           2,           .,           .,
,"09098 CEREZO DE RIO TIRON",           .,           5,           1,           9,
,"09101 CIADONCHA",           .,           .,           .,           1,
,"09103 CILLERUELO DE ABAJO",           .,           1,           .,           1,
,"09105 CIRUELOS DE CERVERA",           .,           1,           .,           .,
,"09108 COGOLLOS",           1,           3,           .,           1,
,"09109 CONDADO DE TREVIÑO",           .,           5,           .,           3,
,"09110 CONTRERAS",           .,           .,           .,           3,
,"09112 CORUÑA DEL CONDE",           .,           1,           .,           1,
,"09113 COVARRUBIAS",           1,           8,           .,           4,
,"09114 CUBILLO DEL CAMPO",           .,           2,           .,           1,
,"09117 CUEVA DE ROA (LA)",           .,           5,           .,           .,
,"09119 CUEVAS DE SAN CLEMENTE",           .,           .,           .,           1,
,"09122 ESPINOSA DE CERVERA",           .,           1,           .,           .,
