" Datos Básicos  - Alojamientos Hoteleros y de Turismo Rural"
"Datos de: INDICADOR=ALOJAMIENTOS HOTELEROS, ALOJAMIENTOS DE TURISMO RURAL"
"FAMILIA INDICADOR",,"TURISMO",,
"INDICADOR",,"ALOJAMIENTOS HOTELEROS","ALOJAMIENTOS DE TURISMO RURAL",
,,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,
,"40188 SANTIUSTE DE PEDRAZA",           .,           3,
,"40189 SANTIUSTE DE SAN JUAN BAUTISTA",           .,           1,
,"40190 SANTO DOMINGO DE PIRON",           .,           3,
,"40191 SANTO TOME DEL PUERTO",           3,           6,
,"40192 SAUQUILLO DE CABEZAS",           .,           2,
,"40193 SEBULCOR",           .,           3,
,"40194 SEGOVIA",          43,           1,
,"40195 SEPULVEDA",           6,          11,
,"40199 SOTOSALBOS",           1,          11,
,"40200 TABANERA LA LUENGA",           .,           1,
,"40202 TORREADRADA",           .,           1,
,"40203 TORRECABALLEROS",           6,          10,
,"40205 TORREIGLESIAS",           .,          10,
,"40206 TORRE VAL DE SAN PEDRO",           .,          10,
,"40207 TRESCASAS",           .,           3,
,"40208 TUREGANO",           1,          23,
,"40210 URUEÑAS",           .,           2,
,"40211 VALDEPRADOS",           .,           1,
,"40214 VALSECA",           .,           1,
,"40216 VALVERDE DEL MAJANO",           2,           1,
,"40220 VALLERUELA DE PEDRAZA",           .,           2,
,"40222 VEGANZONES",           .,           2,
,"40223 VEGAS DE MATUTE",           1,           1,
,"40225 VILLACASTIN",           4,           4,
,"40233 ZARZUELA DEL MONTE",           1,           2,
,"40234 ZARZUELA DEL PINAR",           .,           1,
,"40901 ORTIGOSA DEL MONTE",           .,           5,
,"40905 CUEVAS DE PROVANCO",           .,           2,
,"40906 SAN CRISTOBAL DE SEGOVIA",           .,           3,
,"42001 ABEJAR",           3,          15,
,"42003 ADRADAS",           1,           2,
,"42004 AGREDA",           2,           .,
,"42007 ALCUBILLA DE AVELLANEDA",           .,           2,
,"42008 ALCUBILLA DE LAS PEÑAS",           .,           1,
,"42012 ALDEALSEÑOR",           .,           1,
,"42013 ALDEHUELA DE PERIAÑEZ",           .,           3,
,"42014 ALDEHUELAS (LAS)",           .,           1,
,"42017 ALMAJANO",           1,           6,
,"42018 ALMALUEZ",           .,           1,
,"42019 ALMARZA",           .,          19,
,"42020 ALMAZAN",          12,           1,
,"42022 ALMENAR DE SORIA",           1,           2,
,"42025 ARCOS DE JALON",           4,           6,
,"42027 AREVALO DE LA SIERRA",           .,           3,
,"42028 AUSEJO DE LA SIERRA",           .,           2,
,"42029 BARAONA",           1,           1,
,"42032 BAYUBAS DE ABAJO",           .,           4,
,"42035 BERLANGA DE DUERO",           3,           8,
,"42036 BLACOS",           .,           1,
,"42039 BOROBIA",           1,           2,
,"42042 BUITRAGO",           .,           3,
,"42043 BURGO DE OSMA-CIUDAD DE OSMA",           9,           3,
,"42045 CABREJAS DEL PINAR",           .,           2,
,"42046 CALATAÑAZOR",           2,           4,
,"42048 CALTOJAR",           .,           1,
,"42055 CASAREJOS",           .,           6,
,"42058 CASTILLEJO DE ROBLEDO",           2,           4,
,"42061 CIDONES",           1,          23,
,"42064 CIRIA",           1,           .,
,"42069 COVALEDA",           2,           5,
,"42070 CUBILLA",           .,           2,
,"42071 CUBO DE LA SOLANA",           .,           5,
,"42073 CUEVA DE AGREDA",           .,           2,
,"42076 DEZA",           .,           1,
,"42078 DURUELO DE LA SIERRA",           3,           4,
,"42080 ESPEJA DE SAN MARCELINO",           .,           3,
,"42081 ESPEJON",           1,           .,
,"42085 FUENTEARMEGIL",           .,           1,
,"42094 GARRAY",           5,           5,
,"42095 GOLMAYO",           2,           8,
,"42096 GOMARA",           3,           .,
,"42103 LANGA DE DUERO",           1,           3,
,"42107 MAGAÑA",           .,           1,
,"42110 MATALEBRERAS",           1,           1,
,"42113 MEDINACELI",          10,           5,
,"42115 MIÑO DE MEDINACELI",           .,           1,
,"42116 MIÑO DE SAN ESTEBAN",           .,           1,
,"42117 MOLINOS DE DUERO",           3,           8,
,"42119 MONTEAGUDO DE LAS VICARIAS",           .,           2,
,"42120 MONTEJO DE TIERMES",           1,           5,
,"42121 MONTENEGRO DE CAMEROS",           .,           4,
,"42123 MORON DE ALMAZAN",           1,           2,
,"42124 MURIEL DE LA FUENTE",           .,           3,
,"42127 NAFRIA DE UCERO",           .,           2,
,"42129 NAVALENO",           2,           9,
,"42130 NEPAS",           .,           1,
,"42132 NOVIERCAS",           1,           .,
,"42134 OLVEGA",           3,           .,
,"42141 POVEDA DE SORIA (LA)",           .,           3,
,"42144 QUINTANA REDONDA",           .,           5,
,"42145 QUINTANAS DE GORMAZ",           .,           2,
,"42149 RABANOS (LOS)",           .,           1,
,"42151 REBOLLAR",           .,           5,
,"42153 RELLO",           .,           4,
,"42154 RENIEBLAS",           .,           1,
,"42155 RETORTILLO DE SORIA",           1,           1,
,"42158 RIOSECO DE SORIA",           .,           1,
,"42159 ROLLAMIENTA",           .,           1,
,"42160 ROYO (EL)",           .,           5,
,"42161 SALDUERO",           2,           .,
,"42162 SAN ESTEBAN DE GORMAZ",           2,          17,
,"42163 SAN FELICES",           1,           1,
,"42164 SAN LEONARDO DE YAGÜE",           4,           5,
,"42165 SAN PEDRO MANRIQUE",           3,           7,
,"42166 SANTA CRUZ DE YANGUAS",           .,           2,
,"42167 SANTA MARIA DE HUERTA",           1,           1,
,"42168 SANTA MARIA DE LAS HOYAS",           .,           3,
,"42171 SERON DE NAGIMA",           1,           1,
,"42173 SORIA",          32,           5,
,"42174 SOTILLO DEL RINCON",           2,          12,
,"42175 SUELLACABRAS",           .,           1,
,"42177 TAJUECO",           .,           1,
,"42178 TALVEILA",           1,           1,
,"42181 TARDELCUENDE",           .,           2,
,"42183 TEJADO",           .,           1,
,"42188 TREVAGO",           .,           4,
,"42189 UCERO",           2,           4,
,"42190 VADILLO",           .,           3,
,"42191 VALDEAVELLANO DE TERA",           2,           3,
,"42194 VALDEMALUQUE",           1,           2,
,"42200 VELAMAZAN",           .,           3,
,"42205 VILLACIERVOS",           1,           .,
,"42209 VILLAR DEL RIO",           .,           6,
,"42211 VILLARES DE SORIA (LOS)",           .,           1,
,"42215 VINUESA",           9,          12,
,"42217 VOZMEDIANO",           1,           .,
,"42218 YANGUAS",           .,           5,
,"47004 ALAEJOS",           2,           1,
,"47005 ALCAZAREN",           1,           .,
,"47007 ALDEAMAYOR DE SAN MARTIN",           1,           1,
,"47010 ARROYO DE LA ENCOMIENDA",           7,           .,
,"47011 ATAQUINES",           2,           .,
,"47015 BECILLA DE VALDERADUEY",           1,           1,
,"47016 BENAFARCES",           .,           1,
,"47023 BOECILLO",           1,           .,
,"47024 BOLAÑOS DE CAMPOS",           .,           1,
,"47027 CABEZON DE PISUERGA",           1,           1,
,"47028 CABEZON DE VALDERADUEY",           1,           .,
,"47030 CAMPASPERO",           2,           2,
,"47033 CANALEJAS DE PEÑAFIEL",           1,           9,
,"47035 CARPIO",           .,           1,
,"47036 CASASOLA DE ARION",           .,           2,
,"47038 CASTRILLO DE DUERO",           1,           1,
,"47041 CASTRODEZA",           .,           3,
,"47043 CASTROMONTE",           .,           3,
,"47044 CASTRONUEVO DE ESGUEVA",           .,           1,
,"47045 CASTRONUÑO",           2,           5,
,"47047 CASTROVERDE DE CERRATO",           .,           1,
,"47051 CIGUÑUELA",           .,           1,
,"47052 CISTERNIGA",           6,           .,
,"47054 COGECES DEL MONTE",           .,           2,
,"47057 CUBILLAS DE SANTA MARTA",           .,           3,
,"47058 CUENCA DE CAMPOS",           .,           1,
,"47059 CURIEL DE DUERO",           .,           2,
,"47060 ENCINAS DE ESGUEVA",           1,           2,
,"47062 FOMBELLIDA",           .,           1,
,"47063 FOMPEDRAZA",           .,           3,
,"47065 FRESNO EL VIEJO",           .,           1,
,"47066 FUENSALDAÑA",           1,           .,
,"47070 GATON DE CAMPOS",           .,           1,
,"47071 GERIA",           2,           .,
,"47073 HERRIN DE CAMPOS",           .,           1,
,"47074 HORNILLOS DE ERESMA",           .,           1,
,"47075 ISCAR",           1,           .,
,"47076 LAGUNA DE DUERO",           3,           .,
,"47082 MATAPOZUELOS",           .,           2,
,"47083 MATILLA DE LOS CAÑOS",           .,           2,
,"47084 MAYORGA",           1,           2,
,"47085 MEDINA DEL CAMPO",           8,           1,
,"47086 MEDINA DE RIOSECO",           6,           2,
,"47090 MOJADOS",           2,           .,
,"47092 MONTEALEGRE DE CAMPOS",           .,           4,
,"47093 MONTEMAYOR DE PILILLA",           .,           6,
,"47097 MOTA DEL MARQUES",           1,           .,
,"47098 MUCIENTES",           .,           2,
,"47099 MUDARRA (LA)",           1,           .,
,"47100 MURIEL",           .,           1,
,"47101 NAVA DEL REY",           1,           2,
,"47103 OLIVARES DE DUERO",           .,           2,
,"47104 OLMEDO",           5,           1,
,"47105 OLMOS DE ESGUEVA",           .,           1,
,"47109 PALAZUELO DE VEDIJA",           .,           2,
,"47110 PARRILLA (LA)",           .,           1,
,"47112 PEDRAJAS DE SAN ESTEBAN",           2,           .,
,"47114 PEÑAFIEL",           7,           6,
,"47116 PESQUERA DE DUERO",           .,           3,
,"47117 PIÑA DE ESGUEVA",           .,           1,
,"47118 PIÑEL DE ABAJO",           .,           2,
,"47121 POLLOS",           .,           1,
,"47122 PORTILLO",           .,           1,
,"47123 POZAL DE GALLINAS",           .,           1,
,"47124 POZALDEZ",           .,           1,
,"47127 QUINTANILLA DE ARRIBA",           1,           1,
,"47129 QUINTANILLA DE ONESIMO",           2,           1,
,"47133 RENEDO DE ESGUEVA",           1,           .,
,"47134 ROALES DE CAMPOS",           .,           1,
,"47137 ROTURAS",           .,           3,
,"47139 RUEDA",           4,           4,
,"47141 SALVADOR DE ZAPARDIEL",           .,           1,
,"47143 SAN LLORENTE",           .,           1,
,"47145 SAN MIGUEL DEL ARROYO",           .,           2,
,"47146 SAN MIGUEL DEL PINO",           .,           3,
,"47149 SAN PELAYO",           .,           1,
,"47150 SAN ROMAN DE HORNIJA",           .,           1,
,"47152 SANTA EUFEMIA DEL ARROYO",           .,           2,
,"47154 SANTIBAÑEZ DE VALCORBA",           .,           3,
,"47157 SARDON DE DUERO",           4,           .,
,"47158 SECA (LA)",           .,           3,
,"47160 SIETE IGLESIAS DE TRABANCOS",           2,           6,
,"47161 SIMANCAS",           7,           1,
,"47162 TAMARIZ DE CAMPOS",           .,           1,
,"47163 TIEDRA",           .,           2,
,"47164 TORDEHUMOS",           .,           2,
,"47165 TORDESILLAS",          19,           1,
,"47167 TORRECILLA DE LA ORDEN",           .,           1,
,"47169 TORRE DE ESGUEVA",           .,           1,
,"47171 TORRELOBATON",           .,           3,
,"47172 TORRESCARCELA",           .,           2,
,"47173 TRASPINEDO",           1,           1,
,"47174 TRIGUEROS DEL VALLE",           .,           2,
,"47175 TUDELA DE DUERO",           4,           .,
,"47177 URONES DE CASTROPONCE",           .,           1,
,"47178 URUEÑA",           .,           4,
,"47179 VALBUENA DE DUERO",           .,           2,
,"47181 VALDENEBRO DE LOS VALLES",           .,           1,
,"47182 VALDESTILLAS",           .,           2,
,"47184 VALORIA LA BUENA",           1,           3,
,"47186 VALLADOLID",          56,           .,
,"47188 VEGA DE VALDETRONCO",           1,           .,
,"47190 VELILLA",           .,           2,
,"47191 VELLIZA",           .,           1,
,"47193 VIANA DE CEGA",           .,           2,
,"47197 VILLABRAGIMA",           .,           1,
,"47205 VILLAFRECHOS",           1,           .,
,"47206 VILLAFUERTE",           .,           5,
,"47207 VILLAGARCIA DE CAMPOS",           .,           1,
,"47210 VILLALAR DE LOS COMUNEROS",           .,           1,
,"47212 VILLALBA DE LOS ALCORES",           .,           3,
,"47214 VILLALON DE CAMPOS",           3,           1,
,"47217 VILLANUBLA",           3,           .,
,"47219 VILLANUEVA DE LA CONDESA",           .,           1,
,"47221 VILLANUEVA DE LOS INFANTES",           .,           1,
,"47222 VILLANUEVA DE SAN MANCIO",           .,           1,
,"47223 VILLARDEFRADES",           1,           .,
,"47225 VILLASEXMIR",           .,           4,
,"47231 ZARATAN",           .,           1,
,"47232 ZARZA (LA)",           .,           1,
,"49003 ALCAÑICES",           1,           2,
,"49008 ALMEIDA DE SAYAGO",           .,           2,
,"49012 ARGAÑIN",           .,           1,
,"49014 ARQUILLINOS",           .,           1,
,"49017 ASTURIANOS",           .,           1,
,"49018 AYOO DE VIDRIALES",           .,           1,
,"49021 BENAVENTE",          15,           .,
,"49023 BERMILLO DE SAYAGO",           .,           5,
,"49033 CAMARZANA DE TERA",           1,           1,
,"49035 CAÑIZO",           .,           1,
,"49037 CARBELLINO",           .,           1,
,"49041 CASTROGONZALO",           1,           .,
,"49043 CASTROVERDE DE CAMPOS",           .,           1,
,"49046 CERECINOS DE CAMPOS",           .,           2,
,"49050 COBREROS",           1,           5,
,"49053 CORESES",           2,           .,
,"49054 CORRALES DEL VINO",           .,           1,
,"49061 ENTRALA",           .,           1,
,"49062 ESPADAÑEDO",           1,           1,
,"49063 FARAMONTANOS DE TABARA",           .,           1,
,"49064 FARIZA",           .,           6,
,"49065 FERMOSELLE",           2,           8,
,"49067 FERRERAS DE ARRIBA",           .,           4,
,"49069 FIGUERUELA DE ARRIBA",           .,           1,
,"49071 FONFRIA",           .,           3,
,"49079 FUENTE ENCALADA",           1,           .,
,"49081 FUENTESAUCO",           2,           .,
,"49085 GALENDE",          11,          18,
,"49087 GALLEGOS DEL RIO",           .,           1,
,"49088 GAMONES",           .,           4,
,"49091 GRANJA DE MORERUELA",           .,           1,
,"49094 HERMISENDE",           .,           2,
,"49098 LOSACINO",           .,           1,
,"49099 LOSACIO",           .,           1,
,"49100 LUBIAN",           1,           2,
,"49101 LUELMO",           .,           1,
,"49104 MAHIDE",           .,           4,
,"49108 MANGANESES DE LA LAMPREANA",           .,           5,
,"49110 MANZANAL DE ARRIBA",           1,          12,
,"49111 MANZANAL DEL BARCO",           .,           1,
,"49112 MANZANAL DE LOS INFANTES",           .,           1,
,"49114 MATILLA LA SECA",           .,           1,
,"49119 MOLACILLOS",           .,           1,
,"49121 MOMBUEY",           1,           1,
,"49122 MONFARRACINOS",           .,           1,
,"49123 MONTAMARTA",           .,           2,
,"49128 MORALES DE REY",           .,           1,
,"49129 MORALES DE TORO",           1,           1,
,"49131 MORALINA",           .,           2,
,"49133 MORERUELA DE TABARA",           .,           1,
,"49135 MUELAS DEL PAN",           1,           3,
,"49136 MUGA DE SAYAGO",           .,           1,
,"49139 OTERO DE BODAS",           .,           3,
,"49141 PAJARES DE LA LAMPREANA",           .,           1,
,"49143 PALACIOS DE SANABRIA",           1,           .,
,"49145 PEDRALBA DE LA PRADERIA",           1,           .,
,"49149 PEÑAUSENDE",           .,           3,
,"49150 PEQUE",           .,           1,
,"49151 PERDIGON (EL)",           1,           .,
,"49152 PERERUELA",           .,           7,
,"49153 PERILLA DE CASTRO",           .,           3,
,"49157 PINO DEL ORO",           .,           2,
