" Datos Básicos  - Hospitales y Camas hospitalarias"
"Datos de: INDICADOR=HOSPITALES, CAMAS HOSPITALARIAS"
"FAMILIA INDICADOR",,"SANIDAD",,
"INDICADOR",,"HOSPITALES","CAMAS HOSPITALARIAS",
,,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,
,"37087 CARRASCAL DE BARREGAS",           2,         398,
,"37274 SALAMANCA",          52,       28344,
,"37294 SANTA MARTA DE TORMES",           1,          58,
,"40155 PALAZUELOS DE ERESMA",          23,        1292,
,"40194 SEGOVIA",          51,       10635,
,"42173 SORIA",          35,        8541,
,"47085 MEDINA DEL CAMPO",          24,        2816,
,"47186 VALLADOLID",         158,       43633,
,"49021 BENAVENTE",           2,          91,
,"49275 ZAMORA",          53,       14572,
,"TOTAL",         955,      232682,
