" Datos Básicos  - Restaurantes"
"Datos de: INDICADOR=RESTAURANTES"
"FAMILIA INDICADOR",,"TURISMO",
"INDICADOR",,"RESTAURANTES",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"47075 ISCAR",           8,
,"47076 LAGUNA DE DUERO",          12,
,"47082 MATAPOZUELOS",           3,
,"47084 MAYORGA",           3,
,"47085 MEDINA DEL CAMPO",          18,
,"47086 MEDINA DE RIOSECO",          10,
,"47090 MOJADOS",           3,
,"47093 MONTEMAYOR DE PILILLA",           1,
,"47097 MOTA DEL MARQUES",           2,
,"47098 MUCIENTES",           3,
,"47101 NAVA DEL REY",           2,
,"47103 OLIVARES DE DUERO",           1,
,"47104 OLMEDO",           6,
,"47105 OLMOS DE ESGUEVA",           1,
,"47112 PEDRAJAS DE SAN ESTEBAN",           4,
,"47113 PEDROSA DEL REY",           1,
,"47114 PEÑAFIEL",          18,
,"47122 PORTILLO",           6,
,"47123 POZAL DE GALLINAS",           1,
,"47124 POZALDEZ",           1,
,"47129 QUINTANILLA DE ONESIMO",           3,
,"47139 RUEDA",           4,
,"47143 SAN LLORENTE",           1,
,"47145 SAN MIGUEL DEL ARROYO",           1,
,"47150 SAN ROMAN DE HORNIJA",           1,
,"47155 SANTOVENIA DE PISUERGA",           4,
,"47156 SAN VICENTE DEL PALACIO",           1,
,"47157 SARDON DE DUERO",           1,
,"47158 SECA (LA)",           1,
,"47159 SERRADA",           2,
,"47160 SIETE IGLESIAS DE TRABANCOS",           1,
,"47161 SIMANCAS",          10,
,"47164 TORDEHUMOS",           2,
,"47165 TORDESILLAS",          19,
,"47173 TRASPINEDO",           5,
,"47175 TUDELA DE DUERO",          13,
,"47178 URUEÑA",           1,
,"47179 VALBUENA DE DUERO",           1,
,"47182 VALDESTILLAS",           2,
,"47184 VALORIA LA BUENA",           2,
,"47186 VALLADOLID",         228,
,"47193 VIANA DE CEGA",           3,
,"47194 VILORIA",           1,
,"47195 VILLABAÑEZ",           2,
,"47197 VILLABRAGIMA",           1,
,"47214 VILLALON DE CAMPOS",           3,
,"47217 VILLANUBLA",           4,
,"47218 VILLANUEVA DE DUERO",           1,
,"47223 VILLARDEFRADES",           2,
,"47231 ZARATAN",           9,
,"49017 ASTURIANOS",           1,
,"49020 BELVER DE LOS MONTES",           1,
,"49021 BENAVENTE",           9,
,"49023 BERMILLO DE SAYAGO",           3,
,"49024 BOVEDA DE TORO (LA)",           1,
,"49032 CALZADILLA DE TERA",           1,
,"49033 CAMARZANA DE TERA",           1,
,"49034 CAÑIZAL",           1,
,"49036 CARBAJALES DE ALBA",           2,
,"49042 CASTRONUEVO",           1,
,"49043 CASTROVERDE DE CAMPOS",           1,
,"49050 COBREROS",           2,
,"49053 CORESES",           2,
,"49054 CORRALES DEL VINO",           2,
,"49061 ENTRALA",           1,
,"49063 FARAMONTANOS DE TABARA",           1,
,"49065 FERMOSELLE",           1,
,"49081 FUENTESAUCO",           1,
,"49082 FUENTES DE ROPEL",           1,
,"49085 GALENDE",          13,
,"49093 GUARRATE",           1,
,"49100 LUBIAN",           2,
,"49108 MANGANESES DE LA LAMPREANA",           1,
,"49117 MICERECES DE TERA",           1,
,"49119 MOLACILLOS",           1,
