" Datos Básicos  - Farmacias"
"Datos de: INDICADOR=FARMACIAS"
"FAMILIA INDICADOR",,"SANIDAD",
"INDICADOR",,"FARMACIAS",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"40074 ESCARABAJOSA DE CABEZAS",           1,
,"40076 ESPINAR (EL)",           3,
,"40086 FUENTEPELAYO",           1,
,"40088 FUENTERREBOLLO",           1,
,"40089 FUENTESAUCO DE FUENTIDUEÑA",           1,
,"40092 FUENTIDUEÑA",           1,
,"40094 GARCILLAN",           1,
,"40095 GOMEZSERRACIN",           1,
,"40100 HONTALBILLA",           1,
,"40110 LASTRAS DE CUELLAR",           1,
,"40112 LASTRILLA (LA)",           1,
,"40113 LOSA (LA)",           1,
,"40121 MARTIN MUÑOZ DE LAS POSADAS",           1,
,"40134 MOZONCILLO",           1,
,"40135 MUÑOPEDRO",           1,
,"40136 MUÑOVEROS",           1,
,"40138 NAVA DE LA ASUNCION",           1,
,"40139 NAVAFRIA",           1,
,"40140 NAVALILLA",           1,
,"40141 NAVALMANZANO",           1,
,"40143 NAVARES DE ENMEDIO",           1,
,"40145 NAVAS DE ORO",           1,
,"40146 NAVAS DE SAN ANTONIO",           1,
,"40148 NIEVA",           1,
,"40149 OLOMBRADA",           1,
,"40152 OTERO DE HERREROS",           1,
,"40155 PALAZUELOS DE ERESMA",           1,
,"40156 PEDRAZA",           1,
,"40162 PRADENA",           1,
,"40164 RAPARIEGOS",           1,
,"40166 REMONDO",           1,
,"40170 RIAZA",           1,
,"40174 SACRAMENIA",           1,
,"40176 SAMBOAL",           1,
,"40179 SANCHONUÑO",           1,
,"40180 SANGARCIA",           1,
,"40181 REAL SITIO DE SAN ILDEFONSO",           2,
,"40184 SAN PEDRO DE GAILLOS",           1,
,"40185 SANTA MARIA LA REAL DE NIEVA",           1,
,"40189 SANTIUSTE DE SAN JUAN BAUTISTA",           1,
,"40194 SEGOVIA",          18,
,"40195 SEPULVEDA",           1,
,"40203 TORRECABALLEROS",           1,
,"40204 TORRECILLA DEL PINAR",           1,
,"40205 TORREIGLESIAS",           1,
,"40206 TORRE VAL DE SAN PEDRO",           1,
,"40207 TRESCASAS",           1,
,"40208 TUREGANO",           1,
,"40214 VALSECA",           1,
,"40216 VALVERDE DEL MAJANO",           1,
,"40219 VALLELADO",           1,
,"40222 VEGANZONES",           1,
,"40225 VILLACASTIN",           1,
,"40228 VILLAVERDE DE ISCAR",           1,
,"40233 ZARZUELA DEL MONTE",           1,
,"40234 ZARZUELA DEL PINAR",           1,
,"40901 ORTIGOSA DEL MONTE",           1,
,"42001 ABEJAR",           1,
